Image,Sharp,Label,Confidence
crosswalk10,0.0,Road,99.92
crosswalk10,0.2,Road,99.947
crosswalk10,0.4,Road,99.95
crosswalk10,0.6,Road,99.939
crosswalk10,0.8,Road,99.93
crosswalk10,1.2,Road,99.884
crosswalk10,1.4,Road,99.865
crosswalk10,1.6,Road,99.867
crosswalk10,1.8,Road,99.861
crosswalk10,2.0,Road,99.86
crosswalk3,2.0,Road,99.959
crosswalk3,1.8,Road,99.964
crosswalk3,1.6,Road,99.975
crosswalk3,1.4,Road,99.977
crosswalk3,1.2,Road,99.973
crosswalk3,0.4,Road,99.977
crosswalk3,0.6,Road,99.974
crosswalk3,0.2,Road,99.972
crosswalk3,0.0,Road,99.979
crosswalk3,0.8,Road,99.981
crosswalk4,1.4,Road,99.993
crosswalk4,2.0,Road,99.992
crosswalk4,1.8,Road,99.993
crosswalk4,1.6,Road,99.994
crosswalk4,1.2,Road,99.992
crosswalk4,0.8,Road,99.991
crosswalk4,0.6,Road,99.991
crosswalk4,0.4,Road,99.99
crosswalk4,0.2,Road,99.99
crosswalk4,0.0,Road,99.992
crosswalk7,2.0,Road,99.986
crosswalk7,1.8,Road,99.987
crosswalk7,1.4,Road,99.99
crosswalk7,1.2,Road,99.991
crosswalk7,1.6,Road,99.987
crosswalk7,0.6,Road,99.992
crosswalk7,0.4,Road,99.992
crosswalk7,0.2,Road,99.992
crosswalk7,0.0,Road,99.991
crosswalk7,0.8,Road,99.993
crosswalk9,1.8,Road,99.946
crosswalk9,0.0,Road,99.85
crosswalk9,0.2,Road,99.868
crosswalk9,0.4,Road,99.875
crosswalk9,0.6,Road,99.828
crosswalk9,0.8,Road,99.89
crosswalk9,1.2,Road,99.908
crosswalk9,1.4,Road,99.933
crosswalk9,1.6,Road,99.936
crosswalk9,2.0,Road,99.917
