Image,Bright,Label,Confidence
food10,0.5,Food,98.647
food10,0.6,Food,98.896
food10,0.7,Food,98.45
food10,0.8,Food,99.094
food10,0.9,Food,98.496
food10,1.1,Food,97.723
food10,1.2,Food,98.761
food10,1.3,Food,98.991
food10,1.4,Food,99.295
food10,1.5,Food,99.58
food2,0.5,Food,96.327
food2,0.6,Food,97.275
food2,0.7,Food,96.824
food2,0.8,Food,97.181
food2,0.9,Food,97.418
food2,1.1,Food,97.16
food2,1.2,Food,97.163
food2,1.3,Food,96.89
food2,1.4,Food,97.027
food2,1.5,Food,96.919
food3,0.5,Food,98.367
food3,0.6,Food,98.88
food3,0.7,Food,98.726
food3,0.8,Food,99.157
food3,0.9,Food,99.404
food3,1.1,Food,99.135
food3,1.2,Food,99.005
food3,1.3,Food,98.717
food3,1.4,Food,98.898
food3,1.5,Food,98.711
food4,0.5,Food,99.981
food4,0.6,Food,99.97
food4,0.7,Food,99.967
food4,0.8,Food,99.965
food4,0.9,Food,99.959
food4,1.1,Food,99.974
food4,1.2,Food,99.988
food4,1.3,Food,99.995
food4,1.4,Food,99.996
food4,1.5,Food,99.992
food5,0.5,Food,98.692
food5,0.6,Food,98.255
food5,0.7,Food,98.513
food5,0.8,Food,99.007
food5,0.9,Food,99.188
food5,1.1,Food,99.066
food5,1.2,Food,99.628
food5,1.3,Food,99.759
food5,1.4,Food,99.838
food5,1.5,Food,99.843
food7,0.5,Food,99.304
food7,0.6,Food,98.97
food7,0.7,Food,99.536
food7,0.8,Food,99.347
food7,0.9,Food,99.463
food7,1.1,Food,99.797
food7,1.2,Food,99.904
food7,1.3,Food,99.938
food7,1.4,Food,99.947
food7,1.5,Food,99.803
food8,0.5,Food,98.237
food8,0.6,Food,97.879
food8,0.7,Food,98.188
food8,0.8,Food,98.578
food8,0.9,Food,98.47
food8,1.1,Food,98.661
food8,1.2,Food,99.528
food8,1.3,Food,99.548
food8,1.4,Food,98.076
food8,1.5,Food,97.424
food9,0.5,Food,97.432
food9,0.6,Food,97.96
food9,0.7,Food,98.867
food9,0.8,Food,98.618
food9,0.9,Food,98.947
food9,1.1,Food,97.845
food9,1.2,Food,98.57
food9,1.3,Food,98.642
food9,1.4,Food,98.507
food9,1.5,Food,99.136
